"","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
"87","1","7","9","51","16",0,491193765300111,-1,7000121162486,0,760995455800676,0,523319777881973,0,"236770044028989",0,598497717353234,0,411896958211252,0,810809983222528,0,243463073736711,0
"88","1","7","9","51","16",0,493056252400625,-1,6982540703237,0,758143169510168,0,522856757522813,0,"237132875400117",0,609378696457381,0,406909505783277,0,810186008349973,0,238988849754727,0
"89","1","7","9","51","16",0,491343203292169,-1,703587510001,0,767557580002871,0,522781731014437,0,"235457640468369",0,608632552704096,0,416872106424491,0,87123060482197,0,220082100656046,0
"90","1","7","9","51","16",0,490064837957657,-1,7028481714996,0,766470151593943,0,5227739135969,0,"235497546645315",0,607463964646626,0,415792634692567,0,877842169826534,0,219447751394124,1
"91","1","7","9","51","16",0,495489287179355,-1,7020584139893,0,766282432392777,0,522405634234967,0,"235897044984257",0,62081375389589,0,41325095038973,0,871874257456155,0,216898650936297,1
"92","1","7","9","51","16",0,48855819065982,-1,7034474741218,0,766475773334228,0,522756085047161,0,"235535256884324",0,608450805421187,0,416503816618705,0,878328845504448,0,219961074352191,1
"93","1","7","9","51","16",0,489838374032117,-1,6965893830896,0,753144899838424,0,523786396773266,0,"237933626164713",0,586946062403183,0,405495043801758,0,745336617476376,0,265387814396894,0
"94","0","7","6","51","16",0,492924617881412,-1,7005125943612,0,76182922967272,0,523325417938794,0,"236679988445695",0,598970097726283,0,412329705836162,0,803423180746176,0,24355766220959,0
"95","1","7","9","51","16",0,490339165214824,-1,7032674570156,0,766934235932247,0,522768794239587,0,"235480580930265",0,608142628696842,0,416373837738503,0,874519421823939,0,219776150522115,1
"96","0","7","6","51","16",0,48964170699815,-1,6994197702245,0,759527115393326,0,523274717366087,0,"236734981711978",0,596859798141804,0,41043031665508,0,813699716355517,0,242338978357223,0
"97","1","7","9","51","16",0,493205401046485,-1,7007203760161,0,762249024405095,0,523343249418575,0,"236698018766385",0,599552234436175,0,412810589861939,0,803631530613423,0,243966305649192,1
"98","1","7","9","51","16",0,489985613205442,-1,7033681884794,0,766846652765265,0,522763840780196,0,"235487185507449",0,608199056375316,0,416450414877821,0,874822282324813,0,219840088575891,0
"99","1","7","9","51","16",0,489985613205442,-1,7033681884794,0,766846652765265,0,522763840780196,0,"235487185507449",0,608199056375316,0,416450414877821,0,874822282324813,0,219840088575891,0
"100","1","7","9","51","16",0,484706861629175,-1,6986956211701,0,756317096780101,0,523072391463453,0,"236581247322963",0,59449213929222,0,407462387249621,0,809042277036916,0,239393863078128,0
"101","1","7","9","51","16",0,489984961828773,-1,7032255370051,0,766848070293349,0,522750758784225,0,"235458381295772",0,608245059947479,0,416450264182504,0,874793756913446,0,219840582759006,1
"102","1","7","9","51","16",0,508170892113064,-1,6719967250358,0,72026525492965,0,523273736725976,0,"235651362112838",0,615522128478045,0,444775774774325,0,803011319024081,0,250789783195102,0
"103","0","7","4","51","16",0,492350522776749,-1,7038724778213,0,768188385898728,0,522789978478923,0,"235422256715037",0,6091779081826,0,417287968964095,0,867341312475536,0,220278899719137,1
"104","0","6","8","51","16",0,507773321581403,-1,6807118994866,0,721324649267351,0,525374395033315,0,"246046159559908",0,133425963370854,0,439960282030782,0,862796054048768,0,230959632012469,0
"105","1","7","9","51","16",0,48899463176081,-1,7031310280652,0,766218771076952,0,52275429419273,0,"235504236098675",0,607703154154102,0,415945900583905,0,878132369319087,0,219532445904202,0
"106","1","7","9","51","16",0,479601054372667,-1,6937114108154,0,745413495457408,0,523352920481112,0,"237656690112514",0,579876460883348,0,398302432520411,0,741789078207216,0,258830328091029,0
"107","1","7","9","51","16",0,492728000609032,-1,6995057256252,0,760956377192774,0,523350296357706,0,"236750948192276",0,597333929059238,0,411414994411896,0,812167481409688,0,243271519270632,0
"108","1","7","9","51","16",0,490536568709506,-1,6985838504012,0,758989989175114,0,52327156771941,0,"236710650900863",0,595205703574217,0,409466968486578,0,814538326825871,0,241695492829525,0
"109","1","7","9","51","16",0,4919863062115,-1,7037232730231,0,768054167739908,0,522809715386078,0,"235482024301681",0,609089992635422,0,417353020147745,0,871753556119299,0,220533735185835,1
"110","1","7","9","51","16",0,489985613205442,-1,7033681884794,0,766846652765265,0,522763840780196,0,"235487185507449",0,608199056375316,0,416450414877821,0,874822282324813,0,219840088575891,0
"111","1","7","9","51","16",0,491418381167597,-1,7112566213086,0,764477259937082,0,525474554630612,0,"247120892094848",0,131621090014953,0,410463813848469,0,865660658513049,0,226128439876671,0
"112","1","7","9","51","16",0,490716439365543,-1,6992843000199,0,759810778510261,0,523271696296956,0,"236701716573845",0,59665258228786,0,410453522966595,0,810491261726414,0,242281502253285,1
"113","1","7","9","51","16",0,493562702140524,-1,6966680177375,0,755089606550501,0,523873382106159,0,"237948455218985",0,588002104609188,0,406801533687845,0,743101635370712,0,266555618368888,0
"114","1","7","9","51","16",0,489477324788558,-1,7001168127434,0,760213967512616,0,523297037863141,0,"236763461921688",0,598267666258901,0,411391941221457,0,813496259519735,0,24306952896977,0
"115","1","7","9","51","16",0,49199033981197,-1,6999032500821,0,760865774127383,0,523302704416786,0,"236684773742308",0,597794272789259,0,41135640031732,0,806797792916955,0,242888765627932,0
"116","1","7","9","51","16",0,486921739630387,-1,7128975861346,0,765721594660227,0,525828580815264,0,"246553300115213",0,129465179484855,0,414251866528063,0,865099890795719,0,229385981080764,0
"117","1","7","9","51","16",0,490690383752319,-1,7005552653731,0,761546952993886,0,523342150371229,0,"236776021978129",0,599951130081637,0,412830997627076,0,814410863741191,0,244339770968622,0
"118","1","7","9","51","16",0,489985598315621,-1,7033679023992,0,766846694197975,0,522763013184783,0,"235484398983929",0,608203327882982,0,416450372375826,0,874820483610807,0,219840165002452,0
"119","1","7","7","45","15",0,490981028637952,-1,7048599217167,0,769146036589741,0,522888781894065,0,"235616246592045",0,611768726247665,0,419303638504734,0,879634601636983,0,222393428993364,1
"120","1","7","9","51","16",0,489637795725384,-1,7032857048678,0,766715234015731,0,522782911346585,0,"235527718049329",0,608161663110885,0,416426756144083,0,878656137849693,0,219984133157808,1
"121","0","7","8","51","16",0,495006670225676,-1,7019459966262,0,765483454208762,0,522327176997694,0,"235802039240594",0,619644148468543,0,41261068511194,0,865721553863391,0,21612702837842,0
"122","1","7","9","51","16",0,491197912974813,-1,696325882481,0,753806873365184,0,523816475924516,0,"237959383159317",0,587221506721081,0,40589961588388,0,745855383877894,0,265818219210843,0
"123","0","6","0","51","16",0,498795950818342,-1,7104724279407,0,760966704400849,0,52517737432579,0,"251627789061694",0,161128687310728,0,401708974502392,0,860714552786372,0,219648031167364,0
"124","1","7","9","51","16",0,493142998040576,-1,7007118350952,0,762466287607751,0,523416522789516,0,"236826556956181",0,599826061327158,0,413412045365288,0,81301743153873,0,244927223061445,0
"125","0","7","6","51","16",0,490628801436245,-1,7035353025427,0,767343089849872,0,522791957034026,0,"235505666953137",0,608664966198849,0,416931149155111,0,87534392456167,0,22029191463135,1
"126","1","7","9","51","16",0,49199893947919,-1,708053069134,0,758215673259008,0,525984382960418,0,"248131464279699",0,128955434418662,0,405662431206208,0,801363522364239,0,249425612414324,1
"127","1","7","9","51","16",0,489782444593088,-1,7111535734077,0,763258998188219,0,525458247598363,0,"24737876549342",0,133608115049735,0,409455560998449,0,866022109554281,0,225374447897714,0
"128","1","7","9","51","16",0,493410945683933,-1,6981534677005,0,758231072611251,0,522854686895945,0,"237097679836439",0,609364926191263,0,406831687966676,0,809866582305617,0,238925162900429,0
"129","1","7","9","51","16",0,490339406404665,-1,7033442901593,0,766933728172699,0,522771610061228,0,"235476441560071",0,608147725197746,0,416373579112697,0,874522734464984,0,219776367041125,1
"130","0","7","8","51","16",0,489985421012747,-1,7033192128157,0,76684705413181,0,522760935773891,0,"235483464126563",0,608205492736971,0,4164504595984,0,874816471184364,0,219840099268735,0
"131","1","7","9","51","16",0,491636655838623,-1,6999578201539,0,760778482058109,0,52329635083423,0,"236694755249717",0,597846285877464,0,411433138884825,0,807099293730201,0,24295254525151,0
